Age,Del 18O
-20,-34.7
0,-34.78
20,-34.84
40,-35.16
60,-35.18
80,-34.72
100,-35.28
120,-35.28
140,-35.07
160,-34.88
180,-34.98
200,-35.67
220,-35.11
240,-35.23
260,-35.41
280,-34.86
300,-34.86
320,-35.45
340,-34.98
360,-35.08
380,-35.46
400,-34.76
420,-35.19
440,-35.15
460,-35.14
480,-35.24
500,-34.78
520,-35.15
540,-34.53
560,-35.2
580,-34.91
600,-35.43
620,-35.27
640,-35.1
660,-34.98
680,-34.95
700,-34.85
720,-35.17
740,-34.42
760,-35.17
780,-35.27
800,-35.25
820,-34.33
840,-34.7
860,-34.9
880,-34.93
900,-35.12
920,-35.24
940,-34.68
960,-34.27
980,-34.74
1000,-34.54
1020,-34.49
1040,-35.09
1060,-35.06
1080,-35.21
1100,-35.72
1120,-34.76
1140,-35.5
1160,-34.8
1180,-35.23
1200,-34.76
1220,-35.34
1240,-35.03
1260,-35.37
1280,-35.13
1300,-34.96
1320,-34.98
1340,-34.52
1400,-34.65
1420,-34.91
1440,-34.81
1460,-34.79
1480,-34.96
1500,-34.87
1520,-34.24
1540,-34.14
1560,-34.8
1580,-35.01
1600,-34.81
1620,-34.95
1640,-34.63
1660,-34.53
1680,-34.29
1700,-34.91
1720,-35.13
1740,-35.04
1760,-35.02
1780,-35.31
1800,-34.9
1820,-34.84
1840,-34.52
1860,-34.98
1880,-34.4
1900,-34.78
1920,-34.95
1940,-34.66
1960,-34.73
1980,-33.98
2000,-34.83
2020,-34.51
2040,-34.59
2060,-34.1
2080,-34.58
2100,-34.18
2120,-34.73
2140,-35.06
2160,-34.97
2180,-34.69
2200,-34.81
2220,-34.32
2240,-34.68
2260,-35.03
2280,-35.23
2300,-34.56
2320,-34.82
2340,-34.77
2360,-34.47
2380,-34.15
2400,-34.47
2420,-35.02
2440,-34.98
2460,-35.33
2480,-34.42
2500,-35.1
2520,-34.41
2540,-34.7
2560,-34.46
2580,-34.87
2600,-34.63
2620,-35.21
2640,-34.95
2660,-34.89
2680,-35.09
2700,-34.65
2720,-34.13
2740,-34.72
2760,-35.16
2780,-34.94
2800,-34.97
2820,-34.61
2840,-34.66
2860,-34.3
2880,-34.98
2900,-34.78
2920,-34.53
2940,-34.68
2960,-34.67
2980,-35.21
3000,-35.07
3020,-34.89
3040,-35.01
3060,-34.66
3080,-34.36
3100,-34.68
3120,-35.27
3140,-34.4
3160,-34.12
3180,-34.64
3200,-34.76
3220,-34.49
3240,-34.36
3260,-34.65
3280,-34.47
3300,-34.07
3320,-34.34
3340,-34.63
3360,-34.86
3380,-35.21
3400,-35
3420,-35.24
3460,-34.48
3480,-34.87
3500,-34.09
3520,-34.54
3540,-34.69
3560,-35.15
3580,-34.53
3600,-34.29
3620,-34.58
3640,-34.95
3660,-34.01
3680,-35
3700,-34.8
3720,-34.72
3740,-35.19
3760,-34.41
3780,-34.59
3800,-34.7
3820,-35.25
3840,-34.86
3860,-35.12
3880,-35.01
3900,-34.85
3920,-34.84
3940,-35.24
3960,-34.83
3980,-34.78
4000,-34.58
4020,-34.29
4040,-35.24
4060,-34.69
4080,-34.58
4100,-34.88
4120,-34.07
4140,-34.4
4160,-34.95
4180,-34.55
4200,-34.71
4220,-34.7
4240,-34.82
4260,-34.6
4280,-34.43
4300,-34.76
4320,-34.9
4340,-35.25
4360,-35.39
4380,-34.62
4400,-35.15
4420,-34.99
4440,-34.71
4460,-35.02
4480,-35.49
4500,-34.72
4520,-34.47
4540,-35.18
4560,-34.92
4580,-34.49
4600,-35.17
4620,-35.13
4640,-35.24
4660,-36.01
4680,-34.73
4700,-34.6
4720,-34.48
4740,-35.48
4760,-35.07
4780,-35.74
4800,-34.68
4820,-34.68
4840,-35.24
4860,-34.53
4880,-34.21
4900,-34.36
4920,-34.84
4940,-34.22
4960,-34.89
4980,-34.67
5000,-34.73
5020,-34.85
5040,-34.37
5060,-34.52
5080,-35.28
5100,-34.8
5120,-34.34
5140,-34.77
5160,-34.68
5180,-33.93
5200,-34.25
5220,-34.72
5240,-34.8
5260,-34.57
5280,-34.66
5300,-35.38
5320,-34.93
5340,-34.95
5360,-34.78
5380,-35.64
5400,-35.26
5420,-35.11
5440,-34.5
5460,-34.95
5480,-34.68
5500,-34.4
5520,-34.63
5540,-34.52
5560,-34.55
5580,-34.6
5600,-34.49
5620,-34.7
5640,-34.66
5660,-34.72
5680,-34.33
5700,-34.85
5720,-34.42
5740,-35.23
5760,-34.57
5780,-34.86
5800,-34.56
5820,-34.74
5840,-35.39
5860,-34.24
5880,-34.72
5900,-34.27
5920,-35.17
5940,-34.37
5960,-34.52
5980,-34.84
6000,-34.56
6020,-34.47
6040,-35.1
6060,-34.65
6080,-34.76
6100,-35.47
6120,-35.19
6140,-34.54
6160,-34.5
6180,-34.41
6200,-34.61
6220,-34.97
6240,-35.08
6260,-34.88
6280,-35.12
6300,-35.35
6320,-34.42
6340,-34.82
6360,-34.62
6380,-34.85
6400,-34.4
6420,-34.17
6440,-35.15
6460,-34.86
6480,-34.91
6500,-34.36
6520,-35.21
6540,-34.69
6560,-35.37
6580,-35.07
6600,-34.39
6620,-35.04
6640,-34.85
6660,-34.3
6680,-34.95
6700,-34.82
6720,-34.94
6740,-35.14
6760,-34.28
6780,-34.03
6800,-34.19
6820,-34.05
6840,-34.34
6860,-33.87
6880,-34.9
6900,-33.85
6920,-34.22
6940,-34.91
6960,-34.67
6980,-34.4
7000,-34.78
7020,-34.57
7040,-35.24
7060,-35.14
7080,-34.76
7100,-34.99
7120,-34.7
7140,-34.96
7160,-35.04
7180,-34.47
7200,-34.97
7220,-35.13
7240,-35.05
7260,-34.91
7280,-34.94
7300,-34.57
7320,-34.69
7340,-34.33
7360,-34.47
7380,-34.82
7400,-34.37
7420,-34.58
7440,-34.41
7460,-34.54
7480,-34.84
7500,-34.97
7520,-35.38
7540,-34.72
7560,-34.55
7580,-34.4
7600,-34.7
7620,-34.11
7640,-34.91
7660,-34.6
7680,-34.16
7700,-33.94
7720,-34.57
7740,-34.2
7760,-34.55
7780,-34.16
7800,-34.78
7820,-33.42
7840,-34.5
7860,-34.23
7880,-34.39
7900,-34.62
7920,-34.95
7940,-34.24
7960,-34.69
7980,-34.09
8000,-34.64
8020,-34.5
8040,-35.14
8060,-35.34
8080,-34.64
8100,-34.86
8120,-35.19
8140,-35.19
8160,-35.5
8180,-35.58
8200,-36.11
8220,-36.5
8240,-36.19
8260,-35.18
8280,-34.83
8300,-34.52
8320,-34.85
8340,-34.4
8360,-34.81
8380,-34.91
8400,-34.97
8420,-34.95
8440,-34.3
8460,-35.04
8480,-34.31
8500,-35.12
8520,-34.65
8540,-34.92
8560,-34.47
8580,-34.47
8600,-34.84
8620,-34.48
8640,-34.36
8660,-35.12
8680,-34.57
8700,-34.47
8720,-34.89
8740,-34.07
8760,-34.61
8780,-34.51
8800,-34.34
8820,-34.36
8840,-34.86
8860,-34.81
8880,-34.27
8900,-33.91
8920,-34.03
8940,-34.46
8960,-34.74
8980,-34.7
9000,-35.02
9020,-34.79
9040,-34.19
9060,-34.66
9080,-34.47
9100,-34.21
9120,-34.68
9140,-34.79
9160,-35.06
9180,-34.56
9200,-34.62
9220,-35.61
9240,-34.82
9260,-34.61
9280,-35.05
9300,-34.09
9320,-33.97
9340,-34.36
9360,-34.08
9380,-35.13
9400,-34.36
9420,-34.65
9440,-35.71
9460,-34.84
9480,-35.08
9500,-35.47
9520,-34.64
9540,-35.12
9560,-34.6
9580,-34.39
9600,-34.33
9620,-34.49
9640,-34.45
9660,-35.14
9680,-34.36
9700,-34.27
9720,-34.29
9740,-35.23
9760,-34.71
9780,-33.98
9800,-35
9820,-35.3
9840,-35.06
9860,-35.07
9880,-35.06
9900,-33.78
9920,-35.64
9940,-34.51
9960,-35
9980,-34.76
10000,-35.3
10020,-34.41
10040,-34.84
10060,-35.95
10080,-35.55
10100,-35.69
10120,-34.86
10140,-34.59
10160,-35.15
10180,-35.57
10200,-35.46
10220,-35.32
10240,-34.99
10260,-35.7
10280,-35.1
10300,-35.93
10320,-36.09
10340,-36.13
10360,-35.82
10380,-35.89
10400,-35.87
10420,-35
10440,-35.94
10460,-34.95
10480,-35.87
10500,-35.91
10520,-35.66
10540,-35.53
10560,-35.73
10580,-35.92
10600,-35.79
10620,-35.65
10640,-35.79
10660,-36.41
10680,-35.55
10700,-36.21
10720,-36.49
10740,-35.5
10760,-36.21
10780,-35.53
10800,-36.15
10820,-36.1
10840,-36.04
10860,-36.56
10880,-37.13
10900,-36.64
10920,-36.74
10940,-36.57
10960,-36.57
10980,-35.68
11000,-36.5
11020,-36.83
11040,-36.13
11060,-36.62
11080,-36.87
11100,-36.45
11120,-36.56
11140,-37.07
11160,-36.76
11180,-36.27
11200,-35.67
11220,-36.33
11240,-37.21
11260,-36.46
11280,-36.33
11300,-36.77
11320,-36.4
11340,-38.24
11360,-37.59
11380,-37.9
11400,-37.99
11420,-36.54
11440,-36.84
11460,-36.98
11480,-36.2
11500,-36.77
11520,-36.31
11540,-36.3
11560,-36.39
