Age,MTCO
59,4
63,5.3
67,4.2
87,4.6
403,5.4
735,3.9
753,5.3
829,4.4
887,2.2
913,1.6
914,3.7
938,4.1
941,-4.5
969,4.2
1034,5
1110,6
1179,5.9
1207,5.6
1222,-1.9
1233,5.7
1301,2.6
1313,3.1
1378,3.1
1440,3.4
1441,-0.2
1586,2
1752,-4.3
1836,3.6
1909,7.8
1946,3.9
2104,3.2
2106,-2
2186,-2.4
2352,3.3
2394,4.5
2520,4.1
2565,5.6
2648,4.5
2823,5.4
2981,3.4
3132,5.2
3314,7.8
3425,5
3456,3.4
4018,3.3
4043,2.2
4050,2.9
4175,5.8
4257,3.2
4331,5.9
4342,2.3
4446,2.9
4581,3
4662,3.4
4810,4.1
4916,2.2
4943,4.1
5013,4.7
5144,5.8
5334,3.5
5345,4.8
5500,4.5
5601,5.2
5640,3.9
5705,1.5
5815,3.2
5942,5.4
6079,3.5
6165,-5.2
6224,-0.2
6355,3.1
6392,3.6
6499,2.5
6511,3.1
6518,5.7
6641,-5.7
6647,0.7
6660,4.4
6795,3.1
6805,-5.5
6838,3.2
6905,3.6
6996,-0.3
6997,5.7
7156,-1.5
7291,-3.4
7309,-5.8
7778,-4.1
7809,-5.2
7874,-3.6
8297,-5.7
8391,-4.9
8623,-5.2
8673,-5
8929,-5.9
9064,-5.7
9065,-4.8
9079,4.2
9280,3.5
9464,3.6
9507,-5.9
9590,-6
9698,-5.7
9732,-0.4
9818,-5.9
9831,-3.8
9928,-5.5
9929,-5.8
10034,-5.9
10086,-2
10136,-5.7
10234,-5.9
10269,-2.6
10334,-4.7
10443,-5.4
10513,-1.2
10561,-5.1
10640,-5.6
10698,-1.4
10750,-2.4
10838,-1.7
10850,-2.3
10881,-1.2
10945,-2.2
10980,-2
10983,-0.7
11037,-0.4
11050,-1.7
11122,-3.1
11217,-1.7
11335,-5.1
11346,-1.3
11393,-1.6
11476,-2.4
11499,-3.2
11618,-3
11653,-0.6
11660,-1.5
11669,-6.5
11753,-0.8
11760,-1.6
11812,0.7
11902,-1.7
11910,1
11995,0.8
12110,0.8
12115,-1.2
12139,1
12169,0.9
12180,1.2
12190,1
12207,-1.5
12218,0.9
12221,-1.8
12266,1
12271,-1.4
12313,-1.8
12322,1.2
12327,-0.6
12418,-1
12436,0.9
12496,-1.1
12524,-0.9
12554,1.1
12629,-0.9
12662,0.9
12682,-0.9
12729,-1.2
12771,0.3
12840,-0.9
12854,-1
12889,-3.1
12946,-0.9
13033,-0.9
13051,-0.9
13123,-0.8
13157,-0.9
13194,-3.8
13213,-1.7
13302,-0.6
13368,-0.4
13392,-1.6
13473,-1.6
13482,-1.5
13528,0.5
13571,-0.4
13578,-0.2
13661,-1.5
13684,-0.7
13751,-1.5
13789,-0.3
13862,0.7
13895,-0.7
13930,-5.1
14000,-0.4
14020,-6.2
14106,-0.4
14106,1.3
14109,-6.1
14159,-0.9
14199,-7
14238,-0.6
14289,8.5
14370,0.3
14450,8.5
14501,3.2
14504,6.7
14557,1.5
14580,-0.9
14647,5.6
14712,2.5
14791,0.1
14809,-2.1
14844,-0.3
14844,0.3
14950,-0.4
15024,0.2
15055,-0.1
15075,-1.5
15185,0.2
15213,-0.3
15296,2.9
15364,0.2
15477,6.2
15490,5.7
15655,-4.1
15669,1.9
15849,0.2
16028,1
16107,8.6
16207,0.2
16387,0.2
16566,0.2
16745,0.2
16881,4.2
16924,1.8
17387,3.4
17763,-1.9
17986,-10
18245,4.4
18693,3.6
18826,3.3
19050,1.7
19365,-8.5
19635,-8.6
20015,3.1
21000,-7
21340,-7.9
21600,1.7
22249,-8
22550,-7.2
22880,-9.9
23456,2.3
23680,-10.2
23790,-1.7
23905,-8.1
24035,-2.4
24160,-2.1
24280,-4.3
24380,-8.2
24515,-3.5
24635,-10
24755,-11.1
24880,-2.6
25005,-9.9
25130,-11.7
25180,-9.1
25295,-5.2
25410,2.2
25530,-10.4
25650,0.7
25800,-5.8
26040,2.8
26200,0.8
26320,0.8
26415,3
26500,-9
26580,-6.9
26640,3.4
26665,1.8
26715,9.7
26765,0.6
26840,-10.2
26880,-10
26890,5.3
26995,-10.2
27100,-10
27160,-8.9
27182,-3.5
27189,-4
27191,-9
27192,-6.9
27193,-8.5
27196,2.7
27275,-1.5
27400,-1.5
27435,-6.1
27495,4.2
27670,5.3
30390,2.2
30685,2
30795,-0.1
30981,1.5
31174,0.2
31314,2.8
31368,0.9
31554,1.6
31721,-7.7
31855,2.4
32061,-1.7
32210,-1.7
32355,0.9
32675,1
32956,-3.2
33318,1.3
33544,2.1
33646,2.8
33753,2.6
33816,-1.3
33963,-1.5
34021,-2.2
34046,-2.8
34086,-1.5
34107,0.7
34146,3.2
34493,-3
34494,-1.9
34495,-2.1
34656,-2.4
34856,-2.1
35025,1.3
35231,-0.4
35571,0.9
35890,-7.2
36048,-3.7
36051,-1.6
36270,-3.1
36335,-6.7
36555,2.1
36695,0.7
36733,1.6
36773,0.9
36844,2.4
37107,1.8
37362,2.2
37595,2.1
38049,1.1
38292,0.1
38564,-1
38765,-1.4
40088,-2.2
40088,-2.6
40088,-1.8
40088,-1.8
40089,-2.6
40089,-2.1
40089,-2.7
40089,1.6
40525,2.5
40729,-4.1
40939,0
41003,-0.1
41066,-0.7
41129,1.1
41192,2.1
41245,1.4
41276,-1.4
41358,-2.1
41427,-2.3
41517,1.8
41655,-2.3
41755,-1.7
41867,-2.5
42035,-2.4
42147,-2.4
42318,1.6
42488,-2.6
42610,-3.8
42905,-1.8
43073,-3.9
43185,-4.8
43320,-4.3
43618,-4.7
43711,0.2
43818,-1.6
43972,-1.6
44097,-1.6
44252,-1.9
44392,-2.1
44504,-1.9
44560,-2.4
44700,-0.9
44812,-1.6
45255,1.1
45707,1.3
45708,2.1
45717,2
45974,-1.4
46135,-1.4
46404,1
46684,-2
46964,0.6
47244,1.7
47520,-2.6
47744,-1.4
48010,-1.4
48273,-1.2
48567,-2.4
48833,-2.4
49094,1.1
49108,-2.4
49318,-2.6
49555,-1.9
49695,-2.4
49972,-2.6
50224,-2.4
50614,-2.7
50887,-2.2
51027,-3.3
51083,-3.1
51167,-2.6
51448,-1.8
51727,-3.8
51959,-3.7
52239,-2.7
