year_AD,sea_level_m,age_error,sea_level_error
1880.5,-0.159065,0.5,0.0242
1881.5,-0.153465,0.5,0.0242
1882.5,-0.170265,0.5,0.023
1883.5,-0.164965,0.5,0.0228
1884.5,-0.144065,0.5,0.0222
1885.5,-0.145565,0.5,0.0219
1886.5,-0.147965,0.5,0.0208
1887.5,-0.153565,0.5,0.0208
1888.5,-0.151465,0.5,0.0208
1889.5,-0.149865,0.5,0.0208
1890.5,-0.147865,0.5,0.0207
1891.5,-0.149565,0.5,0.0207
1892.5,-0.146365,0.5,0.0207
1893.5,-0.141665,0.5,0.0203
1894.5,-0.151365,0.5,0.0216
1895.5,-0.139565,0.5,0.0216
1896.5,-0.147165,0.5,0.0212
1897.5,-0.141965,0.5,0.0208
1898.5,-0.132565,0.5,0.0197
1899.5,-0.125065,0.5,0.0194
1900.5,-0.130465,0.5,0.0183
1901.5,-0.130865,0.5,0.0176
1902.5,-0.126265,0.5,0.0173
1903.5,-0.118265,0.5,0.017
1904.5,-0.128565,0.5,0.0169
1905.5,-0.134065,0.5,0.0154
1906.5,-0.127265,0.5,0.0147
1907.5,-0.128665,0.5,0.0149
1908.5,-0.131165,0.5,0.0145
1909.5,-0.126665,0.5,0.0146
1910.5,-0.126765,0.5,0.0146
1911.5,-0.118465,0.5,0.0142
1912.5,-0.121565,0.5,0.0142
1913.5,-0.119765,0.5,0.0141
1914.5,-0.113465,0.5,0.0138
1915.5,-0.105565,0.5,0.0136
1916.5,-0.107465,0.5,0.013
1917.5,-0.111965,0.5,0.0128
1918.5,-0.113565,0.5,0.0127
1919.5,-0.111965,0.5,0.0127
1920.5,-0.110665,0.5,0.013
1921.5,-0.108565,0.5,0.0131
1922.5,-0.109465,0.5,0.0132
1923.5,-0.108265,0.5,0.013
1924.5,-0.115565,0.5,0.0131
1925.5,-0.113565,0.5,0.0136
1926.5,-0.107065,0.5,0.0137
1927.5,-0.108165,0.5,0.0129
1928.5,-0.112065,0.5,0.0123
1929.5,-0.110665,0.5,0.0121
1930.5,-0.106665,0.5,0.012
1931.5,-0.107065,0.5,0.0122
1932.5,-0.101365,0.5,0.0119
1933.5,-0.097065,0.5,0.0118
1934.5,-0.102465,0.5,0.0119
1935.5,-0.096865,0.5,0.0119
1936.5,-0.100765,0.5,0.0118
1937.5,-0.095065,0.5,0.0118
1938.5,-0.092465,0.5,0.0118
1939.5,-0.087265,0.5,0.0122
1940.5,-0.092565,0.5,0.0111
1941.5,-0.080365,0.5,0.0108
1942.5,-0.080365,0.5,0.0108
1943.5,-0.080365,0.5,0.0108
1944.5,-0.086765,0.5,0.0107
1945.5,-0.083965,0.5,0.0107
1946.5,-0.076465,0.5,0.0106
1947.5,-0.073365,0.5,0.0096
1948.5,-0.068565,0.5,0.0093
1949.5,-0.069865,0.5,0.0084
1950.5,-0.067665,0.5,0.0079
1951.5,-0.058165,0.5,0.0078
1952.5,-0.060765,0.5,0.0077
1953.5,-0.056365,0.5,0.0075
1954.5,-0.059265,0.5,0.0073
1955.5,-0.058365,0.5,0.0071
1956.5,-0.063465,0.5,0.007
1957.5,-0.050065,0.5,0.0069
1958.5,-0.048665,0.5,0.0066
1959.5,-0.048365,0.5,0.0065
1960.5,-0.044665,0.5,0.0066
1961.5,-0.038465,0.5,0.0066
1962.5,-0.043665,0.5,0.0066
1963.5,-0.045265,0.5,0.0066
1964.5,-0.053165,0.5,0.0067
1965.5,-0.041965,0.5,0.0067
1966.5,-0.047365,0.5,0.0066
1967.5,-0.045965,0.5,0.0065
1968.5,-0.045165,0.5,0.0067
1969.5,-0.038365,0.5,0.007
1970.5,-0.040265,0.5,0.007
1971.5,-0.035065,0.5,0.0069
1972.5,-0.025965,0.5,0.0069
1973.5,-0.031965,0.5,0.0068
1974.5,-0.020065,0.5,0.0068
1975.5,-0.021665,0.5,0.0067
1976.5,-0.022665,0.5,0.0068
1977.5,-0.024365,0.5,0.0066
1978.5,-0.017965,0.5,0.0067
1979.5,-0.022865,0.5,0.0067
1980.5,-0.016865,0.5,0.0065
1981.5,-0.004465,0.5,0.0065
1982.5,-0.010265,0.5,0.0063
1983.5,-0.001865,0.5,0.0065
1984.5,-0.002765,0.5,0.0063
1985.5,-0.013065,0.5,0.0063
1986.5,-0.012465,0.5,0.0063
1987.5,-0.011865,0.5,0.0062
1988.5,-0.007165,0.5,0.0063
1989.5,-0.002665,0.5,0.0064
1990.5,-0.001265,0.5,0.0063
1991.5,0.001835,0.5,0.0063
1992.5,0.004635,0.5,0.0064
1993.5,0.000135,0.5,0.0064
1994.5,0.003535,0.5,0.0064
1995.5,0.008735,0.5,0.0064
1996.5,0.012435,0.5,0.0064
1997.5,0.020635,0.5,0.0065
1998.5,0.013035,0.5,0.0066
1999.5,0.019735,0.5,0.0067
2000.5,0.020635,0.5,0.0066
2001.5,0.025135,0.5,0.0065
2002.5,0.024135,0.5,0.0067
2003.5,0.033135,0.5,0.0069
2004.5,0.032535,0.5,0.0072
2005.5,0.032135,0.5,0.0073
2006.5,0.033635,0.5,0.0074
2007.5,0.037135,0.5,0.008
2008.5,0.047035,0.5,0.0084
2009.5,0.053535,0.5,0.0088
